Time,RHin,Tin
2025-10-23 00:00:02,81.37,26.60
2025-10-23 00:01:01,81.09,26.59
2025-10-23 00:02:01,80.98,26.59
2025-10-23 00:03:02,80.98,26.60
2025-10-23 00:04:01,80.95,26.59
2025-10-23 00:05:01,81.04,26.59
2025-10-23 00:06:02,81.18,26.60
2025-10-23 00:07:01,81.39,26.59
2025-10-23 00:08:01,81.35,26.59
2025-10-23 00:09:01,81.50,26.57
2025-10-23 00:10:01,81.44,26.58
2025-10-23 00:11:01,81.42,26.58
2025-10-23 00:12:01,81.28,26.59
2025-10-23 00:13:01,81.26,26.58
2025-10-23 00:14:01,81.41,26.58
2025-10-23 00:15:01,81.69,26.57
2025-10-23 00:16:01,81.37,26.57
2025-10-23 00:17:01,81.76,26.55
2025-10-23 00:18:01,81.59,26.56
2025-10-23 00:19:01,81.58,26.55
2025-10-23 00:20:02,81.45,26.56
2025-10-23 00:21:01,81.57,26.54
2025-10-23 00:22:01,81.49,26.55
2025-10-23 00:23:02,81.75,26.54
2025-10-23 00:24:01,81.88,26.54
2025-10-23 00:25:01,81.65,26.52
2025-10-23 00:26:02,81.87,26.54
2025-10-23 00:27:01,81.76,26.52
2025-10-23 00:28:01,81.66,26.52
2025-10-23 00:29:02,81.69,26.52
2025-10-23 00:30:01,81.66,26.51
2025-10-23 00:31:01,81.70,26.50
2025-10-23 00:32:02,81.75,26.49
2025-10-23 00:33:01,81.80,26.49
2025-10-23 00:34:01,81.84,26.48
2025-10-23 00:35:02,81.82,26.49
2025-10-23 00:36:01,81.84,26.48
2025-10-23 00:37:01,81.72,26.47
2025-10-23 00:38:01,81.95,26.49
2025-10-23 00:39:01,81.76,26.47
2025-10-23 00:40:01,81.85,26.48
2025-10-23 00:41:01,81.86,26.47
2025-10-23 00:42:01,81.86,26.48
2025-10-23 00:43:02,81.78,26.47
2025-10-23 00:44:01,81.67,26.47
2025-10-23 00:45:01,81.65,26.49
2025-10-23 00:46:02,81.79,26.48
2025-10-23 00:47:01,81.89,26.48
2025-10-23 00:48:01,81.90,26.50
2025-10-23 00:49:02,81.75,26.47
2025-10-23 00:50:01,81.81,26.47
2025-10-23 00:51:01,81.95,26.47
2025-10-23 00:52:02,82.19,26.46
2025-10-23 00:53:01,82.20,26.45
2025-10-23 00:54:01,82.08,26.44
2025-10-23 00:55:02,82.09,26.44
2025-10-23 00:56:01,81.93,26.44
2025-10-23 00:57:01,82.07,26.45
2025-10-23 00:58:02,82.10,26.43
2025-10-23 00:59:01,82.11,26.42
2025-10-23 01:00:01,82.16,26.43
2025-10-23 01:01:01,82.05,26.43
2025-10-23 01:02:01,81.95,26.44
2025-10-23 01:03:01,82.12,26.42
2025-10-23 01:04:01,82.10,26.44
2025-10-23 01:05:01,82.01,26.42
2025-10-23 01:06:01,82.05,26.42
2025-10-23 01:07:01,82.20,26.43
2025-10-23 01:08:01,82.36,26.41
2025-10-23 01:09:01,82.53,26.40
2025-10-23 01:10:01,82.10,26.41
2025-10-23 01:11:01,82.40,26.40
2025-10-23 01:12:02,82.30,26.40
2025-10-23 01:13:01,82.23,26.40
2025-10-23 01:14:01,82.22,26.40
2025-10-23 01:15:02,82.37,26.37
2025-10-23 01:16:01,82.36,26.39
2025-10-23 01:17:01,82.40,26.37
2025-10-23 01:18:02,82.51,26.36
2025-10-23 01:19:01,82.45,26.36
2025-10-23 01:20:01,82.50,26.36
2025-10-23 01:21:02,82.52,26.36
2025-10-23 01:22:01,82.33,26.36
2025-10-23 01:23:01,82.56,26.36
2025-10-23 01:24:02,82.58,26.37
2025-10-23 01:25:01,82.43,26.36
2025-10-23 01:26:01,82.40,26.37
2025-10-23 01:27:02,82.28,26.35
2025-10-23 01:28:01,82.44,26.37
2025-10-23 01:29:01,82.39,26.37
